lens_id,lens_name,mount_id,focal_length_id,sharpness,aberration,bokeh,autofocus,handling,value,price,rating,description
1,SMC Pentax-DA 14mm F2.8 ED [IF],7,1,8.5,8.2,7.9,8.8,8.8,8.2,$474.82 ,8.72,The DA 14mm is one of the earlier DA lenses and it is still the widest Pentax prime. It offers fast speed and a very wide angle of view.
2,HD Pentax-DA 15mm F4 ED AL Limited,7,1,8.6,9.1,8.1,9,9.4,8.8,$514.67 ,9.15,"The HD Pentax-DA 15mm F4 ED AL Limited is a prime extreme wide-angle lens only suitable for Pentax APS-C DSLRs. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $699.95."
3,SMC Pentax-DA 15mm F4 ED AL Limited,7,1,9,9.1,8,9.4,9.6,8.9,$502.43 ,9.29,The SMC Pentax-DA 15mm F4 ED AL Limited is a prime extreme wide-angle lens only suitable for Pentax APS-C DSLRs. Technical details:
4,HD Pentax-DA 21mm F3.2 Limited,7,1,8.9,8.6,9.1,9,9.4,9,$440.84 ,9.18,"The HD Pentax-DA 21mm F3.2 Limited is a compact ""pancake"" lens designed for use on Pentax DSLRs only. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $699.95."
5,SMC Pentax-DA 21mm F3.2 Limited,7,1,8.8,8.6,8.4,9.4,9.4,8.7,$401.52 ,9.1,"The SMC Pentax-DA 21mm F3.2 Limited is a compact ""pancake"" lens designed for use on Pentax DSLR's only."
6,SMC Pentax-DA 35mm F2.4 AL,7,2,9.1,8.6,8.3,8.5,8.8,9.7,$158.54 ,9.14,"The SMC Pentax-DA 35mm F2.4 AL is a budget lens retailing for only $219.95 in the USA. This lens features SP coating. For a limited period of time, the DA 35mm was available in 12 different colors to match different camera bodies. Despite being labeled as a DA lens (as opposed to DA L), it does NOT feature quick-shift focusing, and has a plastic bayonet and no distance scale on the focusing ring."
7,HD Pentax-DA 35mm F2.8 Limited Macro,7,2,9.7,9.5,9.4,8.9,9.7,9.5,$421.06 ,9.64,"The Pentax 35mm Limited macro lens is designed for use only with APS-C format Pentax DSLRs. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $749.95."
8,SMC Pentax-DA 35mm F2.8 Limited Macro,7,2,9.8,9.3,8.8,8,9.3,9.2,$454.00 ,9.5,The Pentax 35mm Limited macro lens is designed for use only with APS-C format Pentax DSLRs.
9,HD Pentax-DA 40mm F2.8 Limited,7,2,9.2,9.1,8.4,8.7,8.9,8.6,$350.20 ,9.07,"The HD Pentax DA 40mm Limited is the successor to the original M 40mm ""pancake"" lens. It is slightly smaller and 20g lighter because it lacks an aperture ring, and features improved optics. The DA 40mm lens works perfectly on film SLRs, even with the hood. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $549.95."
10,SMC Pentax-DA 40mm F2.8 Limited,7,2,9.4,9.2,8.9,9.3,9.3,9.5,$304.68 ,9.49,"The SMC Pentax DA 40mm Limited is the successor to the original M 40mm ""pancake"" lens. It is slightly smaller and 20g lighter because it lacks an aperture ring, and features improved optics. The DA 40mm lens works perfectly on film SLR's, even with the hood."
