lens_id,lens_name,mount,focal_length,sharpness,aberration,bokeh,autofocus,handling,value,reviews,views,last_date,recommended_by,price,rating,description,image_link,lens_link
1,SMC Pentax-DA 14mm F2.8 ED [IF],7,1,8.5,8.2,7.9,8.8,8.8,8.2,48,"228,048","Fri December 31, 2021",94% of reviewers,$474.82 ,8.72,The DA 14mm is one of the earlier DA lenses and it is still the widest Pentax prime. It offers fast speed and a very wide angle of view.,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA_14mm_F28.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-14mm-F2.8-Lens.html
2,HD Pentax-DA 15mm F4 ED AL Limited,7,1,8.6,9.1,8.1,9,9.4,8.8,33,"158,809","Mon October 28, 2024",97% of reviewers,$514.67 ,9.15,"The HD Pentax-DA 15mm F4 ED AL Limited is a prime extreme wide-angle lens only suitable for Pentax APS-C DSLRs. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $699.95.",https://www.pentaxforums.com/lensreviews/data/34/15mmb.JPG,https://www.pentaxforums.com/lensreviews/hd-pentax-da-15mm-f4-ed-al-limited.html
3,SMC Pentax-DA 15mm F4 ED AL Limited,7,1,9,9.1,8,9.4,9.6,8.9,104,"417,730","Sun August 11, 2024",98% of reviewers,$502.43 ,9.29,The SMC Pentax-DA 15mm F4 ED AL Limited is a prime extreme wide-angle lens only suitable for Pentax APS-C DSLRs. Technical details:,https://www.pentaxforums.com/lensreviews/data/34/Pentax_DA_15mm.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-15mm-F4-Limited-Lens.html
4,HD Pentax-DA 21mm F3.2 Limited,7,1,8.9,8.6,9.1,9,9.4,9,17,"137,569","Sat July 30, 2022",88% of reviewers,$440.84 ,9.18,"The HD Pentax-DA 21mm F3.2 Limited is a compact ""pancake"" lens designed for use on Pentax DSLRs only. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $699.95.",https://www.pentaxforums.com/lensreviews/data/34/21mmb.JPG,https://www.pentaxforums.com/lensreviews/hd-pentax-da-21mm-f3.2-limited.html
5,SMC Pentax-DA 21mm F3.2 Limited,7,1,8.8,8.6,8.4,9.4,9.4,8.7,97,"391,142","Sun August 11, 2024",95% of reviewers,$401.52 ,9.1,"The SMC Pentax-DA 21mm F3.2 Limited is a compact ""pancake"" lens designed for use on Pentax DSLR's only.",https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA_21mm_F32_Limited.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-21mm-F3.2-Limited-Lens.html
6,SMC Pentax-DA 35mm F2.4 AL,7,2,9.1,8.6,8.3,8.5,8.8,9.7,159,"779,914","Wed August 7, 2024",97% of reviewers,$158.54 ,9.14,"The SMC Pentax-DA 35mm F2.4 AL is a budget lens retailing for only $219.95 in the USA. This lens features SP coating. For a limited period of time, the DA 35mm was available in 12 different colors to match different camera bodies. Despite being labeled as a DA lens (as opposed to DA L), it does NOT feature quick-shift focusing, and has a plastic bayonet and no distance scale on the focusing ring.",https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DAL_35mm_F24_AL.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-L-35mm-F2.4-AL.html
7,HD Pentax-DA 35mm F2.8 Limited Macro,7,2,9.7,9.5,9.4,8.9,9.7,9.5,26,"156,773","Sat December 10, 2022",96% of reviewers,$421.06 ,9.64,"The Pentax 35mm Limited macro lens is designed for use only with APS-C format Pentax DSLRs. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $749.95.",https://www.pentaxforums.com/lensreviews/data/34/35mmb.JPG,https://www.pentaxforums.com/lensreviews/hd-pentax-da-35mm-f2.8-limited-macro.html
8,SMC Pentax-DA 35mm F2.8 Limited Macro,7,2,9.8,9.3,8.8,8,9.3,9.2,124,"498,813","Sun August 11, 2024",98% of reviewers,$454.00 ,9.5,The Pentax 35mm Limited macro lens is designed for use only with APS-C format Pentax DSLRs.,https://www.pentaxforums.com/lensreviews/data/34/21730_DA35mmMacro.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-35mm-F2.8-Limited-Macro-Lens.html
9,HD Pentax-DA 40mm F2.8 Limited,7,2,9.2,9.1,8.4,8.7,8.9,8.6,17,"84,667","Sat December 2, 2023",88% of reviewers,$350.20 ,9.07,"The HD Pentax DA 40mm Limited is the successor to the original M 40mm ""pancake"" lens. It is slightly smaller and 20g lighter because it lacks an aperture ring, and features improved optics. The DA 40mm lens works perfectly on film SLRs, even with the hood. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $549.95.",https://www.pentaxforums.com/lensreviews/data/34/40mmb.JPG,https://www.pentaxforums.com/lensreviews/hd-pentax-da-40mm-f2.8-limited.html
10,SMC Pentax-DA 40mm F2.8 Limited,7,2,9.4,9.2,8.9,9.3,9.3,9.5,149,"585,782","Fri October 25, 2024",99% of reviewers,$304.68 ,9.49,"The SMC Pentax DA 40mm Limited is the successor to the original M 40mm ""pancake"" lens. It is slightly smaller and 20g lighter because it lacks an aperture ring, and features improved optics. The DA 40mm lens works perfectly on film SLR's, even with the hood.",https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax_DA_Limited_40mm_Pancake.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-40mm-F2.8-Limited-Pancake-Lens.html
