lens_id,relation,entity
1,lens_name,SMC Pentax-DA 14mm F2.8 ED [IF]
1,mount,7
1,focal_length,1
1,sharpness,8.5
1,aberration,8.2
1,bokeh,7.9
1,autofocus,8.8
1,handling,8.8
1,value,8.2
1,reviews,48
1,views,"228,048"
1,last_date,"Fri December 31, 2021"
1,recommended_by,94% of reviewers
1,price,$474.82 
1,rating,8.72
1,description,The DA 14mm is one of the earlier DA lenses and it is still the widest Pentax prime. It offers fast speed and a very wide angle of view.
1,image_link,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA_14mm_F28.jpg
1,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-14mm-F2.8-Lens.html
2,lens_name,HD Pentax-DA 15mm F4 ED AL Limited
2,mount,7
2,focal_length,1
2,sharpness,8.6
2,aberration,9.1
2,bokeh,8.1
2,autofocus,9.0
2,handling,9.4
2,value,8.8
2,reviews,33
2,views,"158,809"
2,last_date,"Mon October 28, 2024"
2,recommended_by,97% of reviewers
2,price,$514.67 
2,rating,9.15
2,description,"The HD Pentax-DA 15mm F4 ED AL Limited is a prime extreme wide-angle lens only suitable for Pentax APS-C DSLRs. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $699.95."
2,image_link,https://www.pentaxforums.com/lensreviews/data/34/15mmb.JPG
2,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-15mm-f4-ed-al-limited.html
3,lens_name,SMC Pentax-DA 15mm F4 ED AL Limited
3,mount,7
3,focal_length,1
3,sharpness,9.0
3,aberration,9.1
3,bokeh,8.0
3,autofocus,9.4
3,handling,9.6
3,value,8.9
3,reviews,104
3,views,"417,730"
3,last_date,"Sun August 11, 2024"
3,recommended_by,98% of reviewers
3,price,$502.43 
3,rating,9.29
3,description,The SMC Pentax-DA 15mm F4 ED AL Limited is a prime extreme wide-angle lens only suitable for Pentax APS-C DSLRs. Technical details:
3,image_link,https://www.pentaxforums.com/lensreviews/data/34/Pentax_DA_15mm.jpg
3,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-15mm-F4-Limited-Lens.html
4,lens_name,HD Pentax-DA 21mm F3.2 Limited
4,mount,7
4,focal_length,1
4,sharpness,8.9
4,aberration,8.6
4,bokeh,9.1
4,autofocus,9.0
4,handling,9.4
4,value,9.0
4,reviews,17
4,views,"137,569"
4,last_date,"Sat July 30, 2022"
4,recommended_by,88% of reviewers
4,price,$440.84 
4,rating,9.18
4,description,"The HD Pentax-DA 21mm F3.2 Limited is a compact ""pancake"" lens designed for use on Pentax DSLRs only. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $699.95."
4,image_link,https://www.pentaxforums.com/lensreviews/data/34/21mmb.JPG
4,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-21mm-f3.2-limited.html
5,lens_name,SMC Pentax-DA 21mm F3.2 Limited
5,mount,7
5,focal_length,1
5,sharpness,8.8
5,aberration,8.6
5,bokeh,8.4
5,autofocus,9.4
5,handling,9.4
5,value,8.7
5,reviews,97
5,views,"391,142"
5,last_date,"Sun August 11, 2024"
5,recommended_by,95% of reviewers
5,price,$401.52 
5,rating,9.1
5,description,"The SMC Pentax-DA 21mm F3.2 Limited is a compact ""pancake"" lens designed for use on Pentax DSLR's only."
5,image_link,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA_21mm_F32_Limited.jpg
5,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-21mm-F3.2-Limited-Lens.html
6,lens_name,SMC Pentax-DA 35mm F2.4 AL
6,mount,7
6,focal_length,2
6,sharpness,9.1
6,aberration,8.6
6,bokeh,8.3
6,autofocus,8.5
6,handling,8.8
6,value,9.7
6,reviews,159
6,views,"779,914"
6,last_date,"Wed August 7, 2024"
6,recommended_by,97% of reviewers
6,price,$158.54 
6,rating,9.14
6,description,"The SMC Pentax-DA 35mm F2.4 AL is a budget lens retailing for only $219.95 in the USA. This lens features SP coating. For a limited period of time, the DA 35mm was available in 12 different colors to match different camera bodies. Despite being labeled as a DA lens (as opposed to DA L), it does NOT feature quick-shift focusing, and has a plastic bayonet and no distance scale on the focusing ring."
6,image_link,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DAL_35mm_F24_AL.jpg
6,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-L-35mm-F2.4-AL.html
